"Season","No. overall","No. in season","Guests","guests","winner","Timeslot","Original air date","Viewers"
1,1,1,"Ed Kavalee, Jane Kennedy, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Jane Kennedy, Troy Kinne, Rachel Corbett, Sam Pang","Rachel Corbett","7 pm Sunday","3 November 2013","301,000[1]"
1,2,2,"Ed Kavalee, Kate Langbroek, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Kate Langbroek, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee","7 pm Sunday","10 November 2013","420,000[2]"
1,3,3,"Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Jane Kennedy","7 pm Sunday","17 November 2013","352,000[3]"
1,4,4,"Ed Kavalee, Celia Pacquola, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Celia Pacquola, Troy Kinne, Rachel Corbett, Sam Pang","Celia Pacquola","7 pm Sunday","24 November 2013","294,000[4]"
1,5,5,"Ed Kavalee, Jane Kennedy, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee","7 pm Sunday","1 December 2013","396,000[5]"
1,6,6,"Ed Kavalee, Jane Kennedy, Glenn Robbins, Ronny Chieng, Sam Pang","Ed Kavalee, Jane Kennedy, Glenn Robbins, Ronny Chieng, Sam Pang","Ed Kavalee","7 pm Sunday","8 December 2013","379,000[6]"
1,7,7,"Ed Kavalee, Celia Pacquola, Mick Molloy, Rachel Corbett, Sam Pang","Ed Kavalee, Celia Pacquola, Mick Molloy, Rachel Corbett, Sam Pang","Celia Pacquola","7 pm Sunday","15 December 2013","N/A"
1,8,8,"Ed Kavalee, Kate Langbroek, Troy Kinne, Tegan Higginbotham, Sam Pang","Ed Kavalee, Kate Langbroek, Troy Kinne, Tegan Higginbotham, Sam Pang","Ed Kavalee","6 pm Sunday[note 1]","22 December 2013","235,000[7]"
2,9,1,"Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","6 pm Sunday","23 February 2014","168,000[8]"
2,10,2,"Ed Kavalee, Chrissie Swan, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Chrissie Swan, Troy Kinne, Rachel Corbett, Sam Pang","Chrissie Swan","6 pm Sunday","2 March 2014","226,000[9]"
